Marca temporal,Semestre,A qué ingeniería perteneces,"Las siguientes preguntas son con única opción de respuesta:
1. Edad",2. Género,3. Utiliza los laboratorios de la Universidad,4.  ¿Con qué frecuencia utiliza los laboratorios de la universidad por semestre?,5. ¿Cuáles son las actividades que se realizan con mayor frecuencia en los laboratorios? (Selecciona dos o más):,6. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la capacidad máxima? ,7. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la falta de disponibilidad?,"8. ¿Cuándo realiza prácticas de laboratorio, tiene acceso a una visualización gráfica que le muestra la disponibilidad de las salas de laboratorio para agendarlas?",9. ¿Considera que sería beneficioso contar con un sistema web que permita reservar salas de laboratorio en tiempo real para mejorar la experiencia como estudiante?,Genero,UsaLab,Frecuencia,DificultadCapacidad,DificultadDisponibilidad,VisualizacionGrafica,SistemaReservaBeneficioso
2024/05/23 8:16:03 a. m. GMT-5,3.0,ingeniería de sistemas,17.0,Femenino,Si,3 - 5 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,Si,No,Muy de acuerdo,0,1,1,1,1,0,1
2024/05/23 8:16:09 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,1 - 2 veces,Experimentos prácticos,No,Si,No,Neutral,1,1,0,0,1,0,3
2024/05/23 8:16:24 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,Si,Si,Muy de acuerdo,1,1,1,1,1,1,1
2024/05/23 8:16:38 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Maculino,Si,5 - 10 veces,Trabajo en proyectos grupales,Si,No,No,Neutral,1,1,2,1,0,0,3
2024/05/23 8:17:13 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Femenino,Si,1 - 2 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,No,Si,Si,Muy en desacuerdo,0,1,0,0,1,1,2
2024/05/23 8:17:14 a. m. GMT-5,3.0,ingeniería de sistemas,26.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,No,No,Muy de acuerdo,1,1,1,1,0,0,1
2024/05/23 8:17:16 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Maculino,Si,1 - 2 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica,No,No,No,Neutral,1,1,0,0,0,0,3
2024/05/23 8:17:16 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,1 - 2 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,Si,No,Neutral,1,1,0,1,1,0,3
2024/05/23 8:17:44 a. m. GMT-5,3.0,ingeniería de sistemas,17.0,Maculino,Si,1 - 2 veces,Experimentos prácticos;Trabajo en proyectos grupales,No,Si,No,Muy de acuerdo,1,1,0,0,1,0,1
2024/05/23 8:17:59 a. m. GMT-5,3.0,ingeniería de sistemas,20.0,Maculino,Si,Más de 10 veces,Trabajo en proyectos grupales,No,No,No,Neutral,1,1,3,0,0,0,3
2024/05/23 8:18:37 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,1 - 2 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,Si,No,Muy de acuerdo,1,1,0,1,1,0,1
2024/05/23 8:19:58 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,3 - 5 veces,Trabajo en proyectos grupales,No,Si,Si,Neutral,1,1,1,0,1,1,3
2024/05/23 8:20:00 a. m. GMT-5,3.0,ingeniería de sistemas,25.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,No,No,Si,Muy de acuerdo,1,1,1,0,0,1,1
2024/05/23 9:52:16 a. m. GMT-5,3.0,ingeniería de sistemas,26.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,No,No,Muy de acuerdo,1,1,1,1,0,0,1
2024/05/23 11:35:41 a. m. GMT-5,4.0,ingeniería de sistemas,29.0,Maculino,No,Nunca,Nunca se los nunca ,Si,Si,No,Muy de acuerdo,1,0,4,1,1,0,1
2024/05/23 1:39:24 p. m. GMT-5,4.0,ingeniería de sistemas,19.0,Maculino,Si,3 - 5 veces,Experimentos prácticos,No,No,No,Muy de acuerdo,1,1,1,0,0,0,1
2024/05/23 1:43:52 p. m. GMT-5,4.0,ingeniería de sistemas,19.0,Femenino,Si,3 - 5 veces,Experimentos prácticos;Pruebas de software/simulaciones,No,No,No,Neutral,0,1,1,0,0,0,3
2024/05/23 8:40:51 p. m. GMT-5,5.0,ingeniería ambiental,19.0,Femenino,Si,3 - 5 veces,Experimentos prácticos;Trabajo en proyectos grupales,Si,No,No,Muy de acuerdo,0,1,1,1,0,0,1
